<button class="sort" onclick="sortTable(0)"><img class="sort" src="media/sort.png"></button>Sample	<button class="sort" onclick="sortTable(1)"><img class="sort" src="media/sort.png"></button>Class	<button class="sort" onclick="sortTable(2)"><img class="sort" src="media/sort.png"></button>Type	<button class="sort" onclick="sortTable(3)"><img class="sort" src="media/sort.png"></button>OS	<button class="sort" onclick="sortTable(4)"><img class="sort" src="media/sort.png"></button>T [K] 	<button class="sort" onclick="sortTable(5)"><img class="sort" src="media/sort.png"></button>IS [mm/s] 	&plusmn;	<button class="sort" onclick="sortTable(7)"><img class="sort" src="media/sort.png"></button>QS [mm/s]	&plusmn;	<button class="sort" onclick="sortTable(9)"><img class="sort" src="media/sort.png"></button>B<sub>hf</sub> [T]	&plusmn;	Site<sub>(Total)</sub>	Model	Reference
Magnetite	Multiple Oxides	S		77	0.42	0.02	0		51.7	0.3	1<sub>(2)</sub>	Unkn	<a href="http://aip.scitation.org/doi/abs/10.1063/1.1657696" target="_blank">Evans B.J. and Hafner S.S. 1969</a>
Magnetite	Multiple Oxides	S		4.2	0.44	0.02	0		51.8	0.2	1<sub>(2)</sub>	Unkn	<a href="http://aip.scitation.org/doi/abs/10.1063/1.1657696" target="_blank">Evans B.J. and Hafner S.S. 1969</a>
Magnetite	Multiple Oxides	S		298	0.62	0.03	0		45.9	0.2	2<sub>(2)</sub>	Unkn	<a href="http://aip.scitation.org/doi/abs/10.1063/1.1657696" target="_blank">Evans B.J. and Hafner S.S. 1969</a>
Magnetite	Multiple Oxides	S		77	0.78	0.02	-1.5		50.3	0.5	2<sub>(2)</sub>	Unkn	<a href="http://aip.scitation.org/doi/abs/10.1063/1.1657696" target="_blank">Evans B.J. and Hafner S.S. 1969</a>
Magnetite	Multiple Oxides	S		4.2	0.74	0.02	-1.66		50.9	0.3	2<sub>(2)</sub>	Unkn	<a href="http://aip.scitation.org/doi/abs/10.1063/1.1657696" target="_blank">Evans B.J. and Hafner S.S. 1969</a>
Vivianite	Hydrated normal phosphases, arsenates and vanadates	S	2	295	1.21	0.01	2.98	0.01			1<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Vivianite	Hydrated normal phosphases, arsenates and vanadates	S	2	295	1.18	0.01	2.45	0.01			2<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Vivianite	Hydrated normal phosphases, arsenates and vanadates	S	3	295	0.38	0.01	1.06	0.01			3<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Vivianite	Hydrated normal phosphases, arsenates and vanadates	S	3	295	0.4	0.01	0.61	0.01			4<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Lazulite	Anhydrous phosphates, etc. containing hydroxyl or halogen	S	2	80	1.24	0.01	4.04	0.01			1<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Lazulite	Anhydrous phosphates, etc. containing hydroxyl or halogen	S	3	80	0.51	0.01	0.45	0.01			2<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Lazulite	Anhydrous phosphates, etc. containing hydroxyl or halogen	S	2	295	1.12	0.01	3.32	0.01			1<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Lazulite	Anhydrous phosphates, etc. containing hydroxyl or halogen	S	3	295	0.4	0.01	0.47	0.01			2<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Lazulite	Anhydrous phosphates, etc. containing hydroxyl or halogen	S	2	350	1.08	0.01	3.12	0.01			1<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Lazulite	Anhydrous phosphates, etc. containing hydroxyl or halogen	S	3	350	0.3	0.01	0.49	0.01			2<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Lazulite	Anhydrous phosphates, etc. containing hydroxyl or halogen	S	2	400	1.05	0.01	2.95	0.01			1<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Lazulite	Anhydrous phosphates, etc. containing hydroxyl or halogen	S	3	400	0.26	0.01	0.49	0.01			2<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Rockbridgeite	Anhydrous phosphates, etc. containing hydroxyl or halogen	S	2	90	1.22	0.01	3.53	0.01			1<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Rockbridgeite	Anhydrous phosphates, etc. containing hydroxyl or halogen	S	2	90	1.18	0.01	3.33	0.01			2<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Rockbridgeite	Anhydrous phosphates, etc. containing hydroxyl or halogen	S	3	90	0.55	0.01	0.81	0.01			3<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Rockbridgeite	Anhydrous phosphates, etc. containing hydroxyl or halogen	S	3	90	0.49	0.01	0.48	0.01			4<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Rockbridgeite	Anhydrous phosphates, etc. containing hydroxyl or halogen	S	2	295	1.05	0.01	3.05	0.01			1<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Rockbridgeite	Anhydrous phosphates, etc. containing hydroxyl or halogen	S	2	295	1.11	0.01	2.77	0.01			2<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Rockbridgeite	Anhydrous phosphates, etc. containing hydroxyl or halogen	S	3	295	0.46	0.01	0.76	0.01			3<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Rockbridgeite	Anhydrous phosphates, etc. containing hydroxyl or halogen	S	3	295	0.38	0.01	0.48	0.01			4<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Rockbridgeite	Anhydrous phosphates, etc. containing hydroxyl or halogen	S	2	390	0.98	0.01	2.79	0.01			1<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Rockbridgeite	Anhydrous phosphates, etc. containing hydroxyl or halogen	S	2	390	1.04	0.01	2.44	0.01			2<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Rockbridgeite	Anhydrous phosphates, etc. containing hydroxyl or halogen	S	3	390	0.39	0.01	0.76	0.01			3<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Rockbridgeite	Anhydrous phosphates, etc. containing hydroxyl or halogen	S	3	390	0.32	0.01	0.48	0.01			4<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Babingtonite	Inosilicates	S	2	295	1.22	0.01	2.41	0.01			1<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Babingtonite	Inosilicates	S	3	295	0.39	0.01	0.9	0.01			2<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Babingtonite	Inosilicates	S	2	425	1.07	0.01	2	0.01			1<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Babingtonite	Inosilicates	S	3	425	0.3	0.01	0.86	0.01			2<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Hedenbergite	Inosilicates	S	2	80	1.27	0.01	2.74	0.01			1<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Hedenbergite	Inosilicates	S	3	80	0.53	0.01	0.78	0.01			2<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Hedenbergite	Inosilicates	U	2	295	1.15	0.01	2.1	0.01			1<sub>(1)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Acmite	Inosilicates	U	3	100	0.49	0.01	0.31	0.01			1<sub>(1)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Acmite	Inosilicates	U	3	295	0.39	0.01	0.3	0.01			1<sub>(1)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Aegirine-augite	Inosilicates	U	2	80	1.27	0.01	3.13	0.01			1<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Aegirine-augite	Inosilicates	U	2	80	1.31	0.01	2.17	0.01			2<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Aegirine-augite	Inosilicates	U	3	80	0.5	0.01	0.37	0.01			3<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Aegirine-augite	Inosilicates	U	2	175	1.23	0.01	3.04	0.01			1<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Aegirine-augite	Inosilicates	U	2	175	1.2	0.01	1.97	0.01			2<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Aegirine-augite	Inosilicates	U	3	175	0.46	0.01	0.36	0.01			3<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Aegirine-augite	Inosilicates	U	3	295	1.15	0.01	2.77	0.01			1<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Aegirine-augite	Inosilicates	U	2	295	1.08	0.01	1.81	0.01			2<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Aegirine-augite	Inosilicates	U	3	295	0.39	0.01	0.35	0.01			3<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Aegirine-augite	Inosilicates	U	2	350	1.11	0.01	2.58	0.01			1<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Aegirine-augite	Inosilicates	U	2	350	1.02	0.01	1.64	0.01			2<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Aegirine-augite	Inosilicates	U	3	350	0.36	0.01	0.35	0.01			3<sub>(3)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Aegirine-augite	Inosilicates	U	n	400	0.96	0.01	1.97	0.01			1<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Aegirine-augite	Inosilicates	U	3	400	0.33	0.01	0.34	0.01			2<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Ilvaite	Sorosilicates	U	2	295	1.04	0.01	2.45	0.01			1<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Ilvaite	Sorosilicates	U	2	295	0.97	0.01	2.12	0.01			2<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Ilvaite	Sorosilicates	U	3	295	0.57	0.01	1.18	0.01			3<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Ilvaite	Sorosilicates	U	2.5	295	0.76	0.01	1.7	0.01			4<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Ilvaite	Sorosilicates	U	2	425	1	0.01	2.16	0.01			1<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Ilvaite	Sorosilicates	U	2.5	425	0.67	0.01	1.36	0.01			2<sub>(2)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF00309374?no-access=true" target="_blank">Amthauer G. and Rossman G.R. 1984</a>
Iron	Elements and Alloys	U	0	295	0		0		33.1		1<sub>(1)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Olivine		E	2	295	1.165	0.002		0.003			1<sub>(4)</sub>	Unkn	<a href="https://kyushu-u.pure.elsevier.com/en/publications/oxidation-states-of-fe-in-constituent-minerals-of-a-spinel-lherzo" target="_blank">Ejima et al 2018</a>
Olivine		E	2	295	1.141			0.004			2<sub>(4)</sub>	Unkn	<a href="https://kyushu-u.pure.elsevier.com/en/publications/oxidation-states-of-fe-in-constituent-minerals-of-a-spinel-lherzo" target="_blank">Ejima et al 2018</a>
Olivine		E	3	295	0.4	0.02		0.03			3<sub>(4)</sub>	Unkn	<a href="https://kyushu-u.pure.elsevier.com/en/publications/oxidation-states-of-fe-in-constituent-minerals-of-a-spinel-lherzo" target="_blank">Ejima et al 2018</a>
Olivine-Spinel		E	2	295	1.13	0.03		0.06			4<sub>(4)</sub>	Unkn	<a href="https://kyushu-u.pure.elsevier.com/en/publications/oxidation-states-of-fe-in-constituent-minerals-of-a-spinel-lherzo" target="_blank">Ejima et al 2018</a>
Orthopyroxene		E	3	295	0.39	0.02		0.03			1<sub>(3)</sub>	Unkn	<a href="https://kyushu-u.pure.elsevier.com/en/publications/oxidation-states-of-fe-in-constituent-minerals-of-a-spinel-lherzo" target="_blank">Ejima et al 2018</a>
Orthopyroxene		E	2	295	1.19	0.03		0.05			2<sub>(3)</sub>	Unkn	<a href="https://kyushu-u.pure.elsevier.com/en/publications/oxidation-states-of-fe-in-constituent-minerals-of-a-spinel-lherzo" target="_blank">Ejima et al 2018</a>
Orthopyroxene		E	2	295	1.1	0.05		0.1			3<sub>(3)</sub>	Unkn	<a href="https://kyushu-u.pure.elsevier.com/en/publications/oxidation-states-of-fe-in-constituent-minerals-of-a-spinel-lherzo" target="_blank">Ejima et al 2018</a>
Clinopyroxene		E	3	296	0.43	0.01		0.02			1<sub>(5)</sub>	Unkn	<a href="https://kyushu-u.pure.elsevier.com/en/publications/oxidation-states-of-fe-in-constituent-minerals-of-a-spinel-lherzo" target="_blank">Ejima et al 2018</a>
Clinopyroxene		E	2	297	1.06	0.01		0.02			2<sub>(5)</sub>	Unkn	<a href="https://kyushu-u.pure.elsevier.com/en/publications/oxidation-states-of-fe-in-constituent-minerals-of-a-spinel-lherzo" target="_blank">Ejima et al 2018</a>
Clinopyroxene		E	2	298	1.09	0.01		0.02			3<sub>(5)</sub>	Unkn	<a href="https://kyushu-u.pure.elsevier.com/en/publications/oxidation-states-of-fe-in-constituent-minerals-of-a-spinel-lherzo" target="_blank">Ejima et al 2018</a>
Clinopyroxene-Unkwn		E		299	0.32	0.01		0.02			4<sub>(5)</sub>	Unkn	<a href="https://kyushu-u.pure.elsevier.com/en/publications/oxidation-states-of-fe-in-constituent-minerals-of-a-spinel-lherzo" target="_blank">Ejima et al 2018</a>
Clinopyroxene-Unkwn		E		300	0.36	0.01		0.02			5<sub>(5)</sub>	Unkn	<a href="https://kyushu-u.pure.elsevier.com/en/publications/oxidation-states-of-fe-in-constituent-minerals-of-a-spinel-lherzo" target="_blank">Ejima et al 2018</a>
Spinel		E	2	301	0.88	0.02		0.03			1<sub>(4)</sub>	Unkn	<a href="https://kyushu-u.pure.elsevier.com/en/publications/oxidation-states-of-fe-in-constituent-minerals-of-a-spinel-lherzo" target="_blank">Ejima et al 2018</a>
Spinel		E	2	302	0.94	0.02		0.04			2<sub>(4)</sub>	Unkn	<a href="https://kyushu-u.pure.elsevier.com/en/publications/oxidation-states-of-fe-in-constituent-minerals-of-a-spinel-lherzo" target="_blank">Ejima et al 2018</a>
Spinel		E	3	303	0.19	0.01		0.03			3<sub>(4)</sub>	Unkn	<a href="https://kyushu-u.pure.elsevier.com/en/publications/oxidation-states-of-fe-in-constituent-minerals-of-a-spinel-lherzo" target="_blank">Ejima et al 2018</a>
Spinel-Unkwn		E		304		0.2		0.3			4<sub>(4)</sub>	Unkn	<a href="https://kyushu-u.pure.elsevier.com/en/publications/oxidation-states-of-fe-in-constituent-minerals-of-a-spinel-lherzo" target="_blank">Ejima et al 2018</a>
Chalcocite	Sulphides	U		295	0.33		0.56				1<sub>(1)</sub>	Unkn	<a href="0" target="_blank">Music et al. 1981</a>
Bornite	Sulphides	U		295	0.36		0.21				1<sub>(1)</sub>	Unkn	<a href="http://www.sciencedirect.com/science/article/pii/037565059190033R" target="_blank">Gallup & Reiff 1991</a>
Sphalerite	Sulphides	U		295	0.6		0.63				1<sub>(1)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Troilite	Sulphides	U		295	0.77		-0.08		31.3		1<sub>(1)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Stannite	Sulphides	U		295	0.52		2.91				1<sub>(1)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02398261" target="_blank">Baldini et al. 1989</a>
Pyrite	Sulphides	U		295	0.29		0.6				1<sub>(1)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Marcasite	Sulphides	U		295	0.28		0.49				1<sub>(1)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Arsenopyrite	Sulphides	U		295	0.3		1.15				1<sub>(1)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Tochilinite	Sulphides	U		295	1.16		2.77				1<sub>(1)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Franckeite	Sulfosalts	U		295	0.23		0.55				1<sub>(2)</sub>	Unkn	<a href="0" target="_blank">Huang 1987 1987</a>
Franckeite	Sulfosalts	U		295	0.95		1.77				2<sub>(2)</sub>	Unkn	<a href="0" target="_blank">Huang 1988 1987</a>
Tetrahedrite	Sulfosalts	U		295	0.34		0.43				1<sub>(2)</sub>	Unkn	<a href="https://www.researchgate.net/publication/225035161_Exafs_and_Mossbauer_Spectroscopic_Study_of_Fe-Bearing_Tetrahedrites" target="_blank">Charnock et al. 1988</a>
Tetrahedrite	Sulfosalts	U		295	0.59		2.54				2<sub>(2)</sub>	Unkn	<a href="https://www.researchgate.net/publication/225035161_Exafs_and_Mossbauer_Spectroscopic_Study_of_Fe-Bearing_Tetrahedrites" target="_blank">Charnock et al. 1988</a>
Tennantite	Sulfosalts	U		295	0.53		2.22				1<sub>(3)</sub>	Unkn	<a href="https://pubs.geoscienceworld.org/canmin/article-abstract/41/5/1125/13558/mo-ssbauer-study-of-fe-bearing-synthetic" target="_blank">Makovicky et al. 2003</a>
Tennantite	Sulfosalts	U		295	0.35		0.29				2<sub>(3)</sub>	Unkn	<a href="https://pubs.geoscienceworld.org/canmin/article-abstract/41/5/1125/13558/mo-ssbauer-study-of-fe-bearing-synthetic" target="_blank">Makovicky et al. 2003</a>
Tennantite	Sulfosalts	U		295	0.49		1.3				3<sub>(3)</sub>	Unkn	<a href="https://pubs.geoscienceworld.org/canmin/article-abstract/41/5/1125/13558/mo-ssbauer-study-of-fe-bearing-synthetic" target="_blank">Makovicky et al. 2003</a>
W�stite	Simple oxide	U		295	0.95		0.44				1<sub>(2)</sub>	Unkn	<a href="http://www.springer.com/de/book/9780306416477" target="_blank">Murad & Johnston 1987</a>
W�stite	Simple oxide	U		295	0.9		0.79				2<sub>(2)</sub>	Unkn	<a href="0" target="_blank">Murad & Johnston 1987</a>
Hematite	Simple oxide	U		295	0.37		-0.2		51.8		1<sub>(1)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Ferrihydrite	Simple oxide	U		295	0.35		0.83				1<sub>(3)</sub>	Unkn	<a href="0" target="_blank">Murad & Johnston 1987</a>
Ferrihydrite	Simple oxide	U		295	0.35		0.9				2<sub>(3)</sub>	Unkn	<a href="0" target="_blank">Murad & Johnston 1987</a>
Ferrihydrite	Simple oxide	U		295	0.36		0.52				3<sub>(3)</sub>	Unkn	<a href="0" target="_blank">Murad & Johnston 1987</a>
Ilmenite	Simple oxide	U		295	1.04		0.7				1<sub>(2)</sub>	Unkn	<a href="http://www.sciencedirect.com/science/article/pii/0016703788900038" target="_blank">Virgo et al. 1988</a>
Ilmenite	Simple oxide	U		295	0.2		0.27				2<sub>(2)</sub>	Unkn	<a href="http://www.sciencedirect.com/science/article/pii/0016703788900038" target="_blank">Virgo et al. 1988</a>
Maghemite	Simple oxide	U		295	0.32		0.02		49.9		1<sub>(1)</sub>	Unkn	<a href="0" target="_blank">Murad & Johnston 1987</a>
Goethite	Hydroxides and Oxides containing hydroxyl	U		295	0.37		-0.26		38.2		1<sub>(1)</sub>	Unkn	<a href="0" target="_blank">Murad & Johnston 1987</a>
Lepidocrocite	Hydroxides and Oxides containing hydroxyl	U		295	0.37		0.53				1<sub>(1)</sub>	Unkn	<a href="0" target="_blank">Murad & Johnston 1987</a>
Akaganeite	Hydroxides and Oxides containing hydroxyl	U		295	0.38		0.55				1<sub>(2)</sub>	Unkn	<a href="0" target="_blank">Murad & Johnston 1987</a>
Akaganeite	Hydroxides and Oxides containing hydroxyl	U		295	0.37		0.95				2<sub>(2)</sub>	Unkn	<a href="0" target="_blank">Murad & Johnston 1987</a>
Hercynite	Multiple Oxides	U		295	0.82		1.62				1<sub>(2)</sub>	Unkn	<a href="0" target="_blank">Murad & Johnston 1987</a>
Hercynite	Multiple Oxides	U		295	1.18		1.56				2<sub>(2)</sub>	Unkn	<a href="0" target="_blank">Murad & Johnston 1987</a>
Magnetite	Multiple Oxides	U		295	0.26		-0.02		49		1<sub>(2)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Magnetite	Multiple Oxides	U		295	0.67		0		46		2<sub>(2)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Spinel	Multiple Oxides	U		295	1.11		1.75				1<sub>(4)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Spinel	Multiple Oxides	U		295	0.9		0.96				2<sub>(4)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Spinel	Multiple Oxides	U		295	0.86		1.63				3<sub>(4)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Spinel	Multiple Oxides	U		295	0.31		0.79				4<sub>(4)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Chromite	Multiple Oxides	U		295	0.32		0.44				1<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1023/A:1006724913427" target="_blank">Kuno et al. 2000</a>
Chromite	Multiple Oxides	U		295	0.22		0.91				2<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1023/A:1006724913427" target="_blank">Kuno et al. 2000</a>
Chromite	Multiple Oxides	U		295	0.96		0.5				3<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1023/A:1006724913427" target="_blank">Kuno et al. 2000</a>
Chromite	Multiple Oxides	U		295	0.9		1.15				4<sub>(4)</sub>	Unkn	<a href="https://link.springer.com/article/10.1023/A:1006724913427" target="_blank">Kuno et al. 2000</a>
Ulv�spinel	Multiple Oxides	U		295	1.07		1.85				1<sub>(1)</sub>	Unkn	<a href="https://www.researchgate.net/publication/234149051_Mossbauer_spectroscopy_of_Earth_and_planetary_materials" target="_blank">Dyar et al. 2006</a>
Columbite	Multiple Oxides	U		295	1.15		1.55				1<sub>(1)</sub>	Unkn	<a href="https://link.springer.com/article/10.1007/BF02398182" target="_blank">Garg et al. 1991</a>
